11;
1172.059824;0
1162.880024;4.887204979
1164.367582;8.962732689
1169.401945;13.03376611
1169.533186;17.211187
1160.332012;21.6655034
1158.858017;26.14838718
1161.553694;30.70073974
1146.324968;36.09585913
1137.681095;41.75639664
1137.884035;46.47220437
1114.252001;51.94282378
1101.371872;56.86139111
1100.495481;61.03672188
1076.898055;65.7726382
1061.893564;69.86292539
1060.831614;75.27167788
1035.907548;81.25229408
1023.757512;87.91392963
1018.140466;92.10509659
997.200707;98.74706371
994.1751062;105.0130555
973.0782935;110.621882
968.313435;116.1001605
966.8545658;121.4656678
951.0345778;127.9595585
947.6738553;134.5778563
938.0149044;140.8102665
939.064272;147.0735131
935.4656985;152.7619877
930.3597088;158.1763193
933.3052705;163.5953924
931.815639;168.7806652
932.5422988;173.9048831
942.7478506;180
