;0;5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125;130;135;140;145;150;155;160;165;170;175;180;185;190;195;200;205;210;215;220;225;230;235;240;245;250;255;260;265;270;275;280;285;290;295;300;305;310;315;320;325;330;335;340;345;350;355
0;2.66E-05;2.75E-05;2.71E-05;2.70E-05;2.77E-05;2.72E-05;2.68E-05;2.64E-05;2.41E-05;2.44E-05;2.81E-05;3.03E-05;2.91E-05;2.75E-05;2.72E-05;2.70E-05;2.84E-05;3.09E-05;3.17E-05;3.05E-05;2.87E-05;2.92E-05;3.05E-05;2.94E-05;2.92E-05;3.28E-05;3.57E-05;3.42E-05;3.13E-05;3.07E-05;3.24E-05;3.27E-05;3.27E-05;3.48E-05;3.57E-05;3.55E-05;3.70E-05;3.77E-05;3.56E-05;3.53E-05;3.67E-05;3.71E-05;3.64E-05;3.43E-05;3.31E-05;3.40E-05;3.38E-05;3.34E-05;3.49E-05;3.49E-05;3.17E-05;2.83E-05;2.75E-05;2.91E-05;3.03E-05;3.14E-05;3.29E-05;3.25E-05;3.00E-05;2.91E-05;3.09E-05;3.08E-05;2.81E-05;2.68E-05;2.65E-05;2.65E-05;2.65E-05;2.64E-05;2.67E-05;2.70E-05;2.65E-05;2.59E-05
1;5.11E-05;5.17E-05;5.08E-05;4.99E-05;5.03E-05;4.98E-05;4.98E-05;4.92E-05;4.66E-05;4.75E-05;5.05E-05;5.18E-05;5.20E-05;5.23E-05;5.26E-05;5.09E-05;5.14E-05;5.59E-05;5.92E-05;5.97E-05;5.84E-05;5.89E-05;6.12E-05;6.11E-05;6.16E-05;6.52E-05;6.87E-05;7.11E-05;7.23E-05;7.45E-05;7.81E-05;7.89E-05;7.94E-05;8.26E-05;8.51E-05;8.47E-05;8.50E-05;8.76E-05;8.77E-05;8.58E-05;8.63E-05;8.93E-05;9.00E-05;8.54E-05;8.23E-05;8.25E-05;7.89E-05;7.55E-05;7.78E-05;7.91E-05;7.51E-05;7.10E-05;7.09E-05;7.13E-05;6.93E-05;6.73E-05;6.86E-05;6.88E-05;6.45E-05;6.21E-05;6.34E-05;6.22E-05;5.92E-05;5.81E-05;5.55E-05;5.27E-05;5.33E-05;5.43E-05;5.43E-05;5.48E-05;5.46E-05;5.24E-05
2;8.36E-05;8.02E-05;7.67E-05;7.67E-05;7.73E-05;7.68E-05;7.87E-05;7.92E-05;7.71E-05;7.72E-05;7.64E-05;7.54E-05;7.86E-05;8.20E-05;8.20E-05;7.98E-05;8.18E-05;8.91E-05;9.40E-05;9.41E-05;9.37E-05;9.64E-05;0.000101233;0.000105;0.00010972;0.000116276;0.000122416;0.000129548;0.000135833;0.000141487;0.000148502;0.000153531;0.000159713;0.000167349;0.000170568;0.000167965;0.000167923;0.000174393;0.000178795;0.000179055;0.000179411;0.000181445;0.000181546;0.000177593;0.000174208;0.000170176;0.000161129;0.000155687;0.000157465;0.000157446;0.000151962;0.000147955;0.000145912;0.000138734;0.000132002;0.000128443;0.000125618;0.000123452;0.000118123;0.000111813;0.000107569;0.000102951;9.96E-05;9.84E-05;9.49E-05;9.13E-05;9.11E-05;9.21E-05;9.13E-05;9.07E-05;9.05E-05;8.73E-05
3;0.00010821;0.000101496;9.84E-05;9.90E-05;9.72E-05;9.55E-05;9.74E-05;9.92E-05;9.80E-05;9.65E-05;9.49E-05;9.47E-05;9.84E-05;0.000102349;0.000102399;0.00010147;0.000107781;0.000118212;0.000124555;0.000126908;0.000128749;0.000132109;0.000139883;0.00015299;0.000167957;0.000180328;0.000189215;0.000200613;0.000212409;0.000224732;0.000242157;0.000257134;0.00027031;0.00028456;0.000293401;0.000294827;0.000298883;0.000308716;0.000319485;0.000326737;0.000324954;0.000321442;0.000318722;0.000315058;0.000312258;0.000302876;0.000290346;0.000286883;0.000285323;0.000276029;0.000263413;0.000253496;0.000240814;0.00022487;0.000215098;0.00020655;0.000195899;0.000186801;0.000177434;0.000167196;0.000155995;0.000145029;0.000138417;0.000135754;0.000132851;0.000128129;0.000123274;0.00012241;0.000122364;0.000120858;0.000120181;0.000115603
4;0.000123846;0.000117226;0.000116484;0.00011633;0.000111419;0.000106285;0.000105518;0.000105354;0.000103205;0.000103532;0.000105864;0.000108066;0.000110597;0.000113948;0.000118652;0.000122997;0.000130066;0.000138939;0.000147198;0.000156899;0.000165549;0.000174305;0.000188047;0.00020668;0.000227626;0.000245724;0.000262656;0.000285686;0.000310201;0.000338397;0.00037221;0.000399764;0.000422404;0.000446599;0.000473184;0.000496189;0.00051094;0.000523728;0.000538617;0.000548767;0.000547044;0.000541222;0.00053259;0.000520522;0.000511378;0.000498217;0.000483128;0.000477254;0.000466316;0.000438049;0.000407383;0.000382272;0.000358411;0.000339225;0.000322593;0.000301918;0.000281729;0.000262131;0.000243046;0.000228387;0.000212831;0.00019523;0.000182957;0.000176748;0.000171044;0.000162345;0.000151411;0.000145275;0.000144385;0.00014268;0.000139898;0.000133537
5;0.000134911;0.000128831;0.000128301;0.000128903;0.000124606;0.000117486;0.000113663;0.000109049;0.000104182;0.000106199;0.000111794;0.000116567;0.000121777;0.000127917;0.00013581;0.000142456;0.000146906;0.000152679;0.000163775;0.000182022;0.000200974;0.000220523;0.00024466;0.000267697;0.000289083;0.000313039;0.000346364;0.000390061;0.000436598;0.000491774;0.0005493;0.000595661;0.00063785;0.00068164;0.000733191;0.000787103;0.000824947;0.000851515;0.000871545;0.000878501;0.000876375;0.000871033;0.000855276;0.00082955;0.000808586;0.000789471;0.000766723;0.000742911;0.000706815;0.000654688;0.000602587;0.000556848;0.000519834;0.000490019;0.000455767;0.000419951;0.000390382;0.000358952;0.000325778;0.000302383;0.000281947;0.000257262;0.000236121;0.000220856;0.000208769;0.000198059;0.000186434;0.000175339;0.000168192;0.000162114;0.000154189;0.000144952
6;0.000147141;0.000139321;0.000133925;0.00013441;0.000132776;0.000125621;0.000120407;0.000116062;0.000110912;0.000111075;0.000117056;0.000122922;0.000128395;0.000137494;0.000146803;0.000152585;0.000158572;0.00016703;0.000180971;0.000204484;0.000231593;0.000259189;0.00029554;0.000334991;0.000369467;0.000407869;0.000461595;0.000526639;0.000597554;0.000686811;0.000782414;0.000860508;0.000931262;0.00100896;0.001092351;0.00116978;0.001231886;0.001284846;0.001327826;0.001350034;0.001355116;0.001345374;0.001314788;0.001276317;0.001238315;0.001194993;0.001151774;0.001100179;0.00102715;0.000946407;0.00087109;0.000797972;0.000731377;0.000674512;0.00061482;0.000557202;0.000513635;0.000470231;0.000421658;0.000383507;0.000353695;0.000320758;0.00028801;0.000260668;0.000240059;0.000226109;0.000216245;0.000205508;0.000193579;0.00018051;0.00016583;0.000154709
7;0.000160133;0.000149383;0.000138117;0.000137406;0.00013706;0.000128951;0.000120774;0.000117436;0.000115691;0.000115754;0.000118964;0.000122857;0.000126143;0.000133183;0.000144962;0.00015581;0.000166489;0.00017974;0.000196377;0.000220498;0.000252036;0.000289486;0.000336893;0.000393678;0.000456273;0.000522329;0.000595174;0.000682661;0.000790714;0.000925036;0.001064698;0.001185762;0.001302369;0.001426769;0.001544008;0.001645788;0.001746361;0.0018402;0.001915583;0.001973981;0.002005651;0.001990967;0.001933853;0.00187181;0.001807026;0.001728171;0.001647491;0.001552356;0.001437882;0.001325288;0.001216185;0.001101538;0.000986856;0.00088764;0.000797213;0.000709856;0.000639383;0.000577152;0.000513907;0.000460425;0.000418112;0.00037639;0.000334265;0.000298443;0.00026893;0.000246093;0.0002313;0.000219262;0.000205388;0.00018871;0.000172313;0.000163765
8;0.000165283;0.000154315;0.00014197;0.000138302;0.00013624;0.000127741;0.000116284;0.00011041;0.000111117;0.000113594;0.000114246;0.000115565;0.000118891;0.000123811;0.000135785;0.000151207;0.00016298;0.00017692;0.0001999;0.000230083;0.00026862;0.00031855;0.00037233;0.000434742;0.000523445;0.000624525;0.00071996;0.000838547;0.001004143;0.001192699;0.001374277;0.001547535;0.001724755;0.001907425;0.002074138;0.002224175;0.00238829;0.002540582;0.002644791;0.002726614;0.002777617;0.002749975;0.002664552;0.002570117;0.002474936;0.002374584;0.002254317;0.002098932;0.001926339;0.001762352;0.001600971;0.001433631;0.001268115;0.0011183;0.000989494;0.000873663;0.000769974;0.00067849;0.000596982;0.000528786;0.000473291;0.000423359;0.00037648;0.000335282;0.00029835;0.00026655;0.000243274;0.000226166;0.000207305;0.000186856;0.000173103;0.00016816
9;0.000156599;0.000146457;0.000137209;0.000132432;0.000126493;0.000117677;0.000107632;9.97E-05;0.000100567;0.000107143;0.000107355;0.000105264;0.000108112;0.000115018;0.000126843;0.00014076;0.000152623;0.000167904;0.000197104;0.00023683;0.00028335;0.000339839;0.000399401;0.000470189;0.000574002;0.000702848;0.000839151;0.001007045;0.00122778;0.001462347;0.00168423;0.001909904;0.002144454;0.002392254;0.002643059;0.002874841;0.003096085;0.003295299;0.003426989;0.003508719;0.00355064;0.003497953;0.003388828;0.003281316;0.003171763;0.003052161;0.002886685;0.002665127;0.002419768;0.002180117;0.001950432;0.001726445;0.001520566;0.001335485;0.001169595;0.001025476;0.000894603;0.000772411;0.000668533;0.000585412;0.000516415;0.000457443;0.000404755;0.000357837;0.000315058;0.00027721;0.000250564;0.00022974;0.000203035;0.000177746;0.000165661;0.000161611
10;0.000137608;0.000129291;0.000123633;0.000119795;0.000111776;0.000102334;9.40E-05;8.60E-05;8.74E-05;9.64E-05;9.64E-05;9.26E-05;9.57E-05;0.000103878;0.00011568;0.000127898;0.000142376;0.000161491;0.000190866;0.000233089;0.000283922;0.000345032;0.000415367;0.000502518;0.000617831;0.000764037;0.000946416;0.001171883;0.001431632;0.001696427;0.001958059;0.002233426;0.002520691;0.002821833;0.003143658;0.00345932;0.003739163;0.003969073;0.004121232;0.004190846;0.004200343;0.004135065;0.004020789;0.003906976;0.00378358;0.003623963;0.003406559;0.003134198;0.002830879;0.002525548;0.002231083;0.001953767;0.001713881;0.001509821;0.001317663;0.001139257;0.000984077;0.000845325;0.000726732;0.000627331;0.00054434;0.000476872;0.000415199;0.000362037;0.000315041;0.000271713;0.000240993;0.000213544;0.000182922;0.000160994;0.000150169;0.000143935
11;0.0001136;0.000109158;0.000104857;9.92E-05;9.27E-05;8.54E-05;7.67E-05;7.08E-05;7.26E-05;7.77E-05;7.74E-05;7.68E-05;8.15E-05;8.87E-05;0.000100172;0.000112671;0.000126841;0.00014586;0.000175391;0.00021869;0.000270656;0.000334479;0.000411336;0.000508732;0.000636173;0.000797798;0.001009366;0.001276657;0.00156699;0.00185578;0.002158574;0.002483362;0.002812599;0.003141905;0.003484395;0.00384254;0.004181702;0.004440671;0.004602446;0.004669293;0.004658422;0.004599155;0.004490612;0.004357494;0.004208056;0.004000362;0.003732308;0.003425926;0.003090943;0.002743982;0.002403979;0.002092888;0.001829155;0.001611235;0.001410072;0.001210894;0.001032267;0.000884616;0.000757045;0.000639075;0.000542499;0.000469132;0.000403654;0.000348782;0.000301997;0.000257805;0.000221076;0.000187517;0.000158279;0.000140036;0.000127984;0.00011908
