;0;5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125;130;135;140;145;150;155;160;165;170;175;180;185;190;195;200;205;210;215;220;225;230;235;240;245;250;255;260;265;270;275;280;285;290;295;300;305;310;315;320;325;330;335;340;345;350;355
0;0.000118222;0.000119026;0.000118266;0.000116931;0.000117377;0.000115442;0.000112738;0.000112755;0.000112251;0.000111316;0.000112204;0.000112141;0.000110086;0.000109919;0.000110391;0.000108331;0.00010722;0.000108402;0.000109077;0.000110024;0.000113863;0.000115564;0.000114154;0.000115836;0.000117498;0.000116208;0.000115086;0.000114277;0.000111196;0.000108146;0.00011106;0.000116187;0.000116054;0.000114292;0.00011623;0.00011947;0.000121005;0.000122753;0.000123593;0.000120875;0.000117743;0.000117983;0.000122667;0.00012722;0.000129347;0.000130636;0.00013113;0.000130024;0.000128861;0.00013026;0.000131512;0.000134429;0.000136538;0.000134273;0.000133364;0.000134274;0.000137101;0.000139468;0.000139887;0.00014164;0.000142137;0.000139433;0.000135613;0.00013241;0.000130307;0.000129399;0.00013004;0.00012928;0.000126278;0.000125023;0.000123895;0.000120345
1;0.000260664;0.000258;0.000252863;0.000248961;0.000246601;0.00024205;0.000235721;0.000232345;0.000231432;0.000230711;0.000230838;0.00022946;0.000226435;0.000227183;0.000227883;0.000225173;0.000225355;0.000227923;0.000229666;0.000231792;0.000234412;0.000233699;0.000232144;0.000237103;0.000243338;0.000244075;0.000240931;0.000237309;0.00023563;0.000235376;0.000240231;0.000247293;0.000245835;0.000245519;0.000251625;0.000255223;0.000256301;0.000259326;0.000263617;0.000263455;0.000260232;0.000258881;0.000262003;0.00026643;0.000270739;0.000277927;0.000286531;0.000290422;0.000290417;0.000294067;0.000299507;0.000308444;0.000318653;0.00032015;0.000316312;0.000315408;0.000319367;0.000321022;0.0003198;0.000321778;0.000323393;0.000319171;0.000309685;0.000300598;0.00029488;0.00029277;0.00029124;0.000285857;0.000279885;0.000275536;0.000268403;0.000262135
2;0.000467699;0.000458013;0.000445118;0.000434682;0.000425466;0.000416315;0.000407568;0.00040302;0.000401292;0.000399483;0.000399996;0.000399897;0.000395957;0.000393136;0.000390862;0.000388424;0.000390951;0.000394612;0.000396498;0.000400861;0.000405972;0.000406576;0.000407454;0.000413792;0.000419897;0.000422607;0.000422195;0.000419472;0.000420925;0.000426283;0.000432336;0.000438365;0.000436762;0.00043655;0.000444272;0.00045032;0.000453135;0.000456083;0.000460355;0.000461931;0.000460579;0.000459184;0.000460795;0.000467128;0.000479502;0.000498471;0.000517272;0.000525932;0.000532259;0.000549823;0.000568486;0.000583817;0.000599621;0.000607072;0.000607911;0.000613521;0.000622646;0.00062748;0.000623685;0.000616442;0.000614443;0.000611221;0.000597683;0.000579552;0.000567481;0.000560336;0.000544145;0.000520951;0.000508;0.000501407;0.000486632;0.000473089
3;0.000684349;0.000666554;0.0006469;0.000626542;0.000608058;0.000592751;0.00058187;0.000579755;0.000581711;0.000579193;0.000576252;0.000574769;0.000569551;0.000564993;0.000564996;0.000565374;0.000568198;0.000573575;0.000580342;0.000588959;0.000597617;0.000605572;0.000612429;0.000617767;0.000619193;0.000621341;0.000626304;0.000629768;0.000636016;0.000642771;0.000644411;0.00064699;0.000649096;0.000651029;0.000657494;0.00066164;0.000660782;0.000661423;0.000664454;0.000664068;0.00066177;0.000663569;0.000670002;0.000684697;0.000711918;0.000741332;0.000764143;0.000781548;0.000801339;0.000834012;0.00087017;0.000899255;0.000927069;0.000955353;0.000980851;0.001003906;0.001024507;0.001040293;0.001040574;0.001024804;0.00101122;0.001003887;0.000988574;0.000957948;0.000926911;0.000897447;0.000855664;0.000813407;0.000784496;0.000761346;0.000733702;0.000705297
4;0.000897349;0.00087387;0.000851188;0.000817962;0.000786056;0.000764623;0.000750741;0.000747799;0.000753695;0.000752737;0.000744763;0.000738991;0.000734814;0.000734344;0.00073746;0.000738037;0.000742652;0.000756552;0.000775841;0.000793373;0.000809143;0.000826543;0.000840801;0.000852717;0.000859289;0.000860125;0.000861645;0.000868599;0.000881859;0.000887105;0.000879726;0.000874067;0.00087266;0.000873799;0.000877574;0.000871517;0.000858747;0.000855156;0.000857546;0.000851564;0.000839972;0.000843062;0.000860495;0.000885742;0.000923829;0.000957694;0.000980346;0.001010716;0.001048374;0.001092177;0.001145775;0.001202511;0.00126417;0.001330746;0.001394392;0.001454196;0.001512158;0.001562498;0.001585423;0.00157335;0.00154713;0.001529477;0.001510327;0.001462813;0.001394408;0.001318063;0.001236589;0.001163736;0.001097859;0.001038492;0.000990116;0.000940163
5;0.00110135;0.00105798;0.001025521;0.000985502;0.000944381;0.000917119;0.000900393;0.000892416;0.000894611;0.000894851;0.000888552;0.00088285;0.000880545;0.000882529;0.000883853;0.00088696;0.00090451;0.000933377;0.000968808;0.001003899;0.001033959;0.001061102;0.001085486;0.00111389;0.001135783;0.001138246;0.001135138;0.00114163;0.001151317;0.001148526;0.001129898;0.001107415;0.001089772;0.001076923;0.001068563;0.001049419;0.001022616;0.001009435;0.001004834;0.000990642;0.000966717;0.00096063;0.00097978;0.001010327;0.001047921;0.001077485;0.001101291;0.001141756;0.001193057;0.001248517;0.001319881;0.00140788;0.001507127;0.00161251;0.001724355;0.001847938;0.00197839;0.002100089;0.002176009;0.002185938;0.002166073;0.002154642;0.002132999;0.002061927;0.001941529;0.001796397;0.001651575;0.00152234;0.001405535;0.001308647;0.001237321;0.001167716
6;0.001245348;0.001178875;0.001130569;0.001089981;0.001052924;0.001024538;0.001007297;0.000994662;0.00098678;0.000984317;0.00098218;0.000981587;0.000985687;0.000992405;0.00099764;0.001013785;0.001050491;0.001093716;0.001147841;0.001207621;0.001255902;0.001304515;0.001352831;0.001393283;0.001424199;0.001436003;0.001434524;0.001429785;0.001415986;0.001392633;0.001358934;0.001319315;0.001284179;0.001244668;0.001206337;0.00117183;0.001131471;0.00109644;0.001070422;0.001044536;0.001013572;0.000990463;0.000994419;0.001017862;0.001040048;0.001054451;0.001077673;0.001118984;0.001166015;0.001220654;0.001298262;0.001399981;0.001516208;0.001650188;0.001818031;0.002017628;0.002231255;0.002440357;0.002594043;0.002655715;0.002674646;0.00269635;0.002689215;0.002605851;0.002433886;0.00221239;0.002002563;0.001823595;0.001662203;0.001524399;0.001419994;0.001330211
7;0.001270944;0.001203592;0.00115019;0.001112563;0.001086975;0.001066202;0.001054389;0.001040552;0.001023848;0.001015983;0.001015957;0.001025229;0.001041651;0.001055248;0.001067058;0.00109764;0.001152959;0.001217465;0.001298061;0.001381881;0.001448086;0.001523986;0.001604037;0.001658431;0.001693961;0.001717176;0.00171993;0.001697864;0.001656653;0.001607;0.001551111;0.001489901;0.001429656;0.001362662;0.001296097;0.001242314;0.00118466;0.001120336;0.001062085;0.001014015;0.000971487;0.000931121;0.000912666;0.000916064;0.000914188;0.000906706;0.000913232;0.000938789;0.000971908;0.001014048;0.00107613;0.001163776;0.001276126;0.001414629;0.001599717;0.001834702;0.002099185;0.002380168;0.002623339;0.002771488;0.00286319;0.002942417;0.002976411;0.002907301;0.002712143;0.002440095;0.002178697;0.001963763;0.001771106;0.00159504;0.00145659;0.001354275
8;0.001183036;0.00113078;0.001090413;0.00106528;0.001052178;0.001043061;0.001037351;0.00102743;0.001016701;0.00101191;0.001015062;0.001030969;0.001052917;0.001070716;0.001087275;0.001123149;0.001188896;0.001277696;0.001391602;0.001502314;0.001588359;0.001682722;0.001784868;0.001861629;0.001908921;0.001937955;0.001940143;0.001905058;0.001842862;0.00177379;0.001701406;0.001610604;0.001512362;0.001421431;0.001336708;0.001257403;0.001175439;0.001087618;0.001003569;0.000932646;0.000873301;0.000817825;0.000778254;0.000758631;0.000735162;0.000705199;0.000685607;0.0006869;0.000705972;0.000734839;0.000774824;0.000833451;0.000918209;0.001027723;0.001169789;0.001359974;0.001603505;0.001903072;0.002206365;0.002437615;0.002617462;0.002777983;0.002865753;0.002823752;0.002648616;0.002382026;0.002102978;0.001866116;0.001662622;0.00148;0.001337474;0.001246691
9;0.001017519;0.000984721;0.000965078;0.000959581;0.000960402;0.000962338;0.000965544;0.000970122;0.000976889;0.000981484;0.000986801;0.000999403;0.001020426;0.001043997;0.001063929;0.001097251;0.001164376;0.001267178;0.001404113;0.001542389;0.001655293;0.001767959;0.001885434;0.001980777;0.002043716;0.002073962;0.002064131;0.00201434;0.001934527;0.001849121;0.00176143;0.001646972;0.001519168;0.001403419;0.001299496;0.001201514;0.001107908;0.001015084;0.000926437;0.000849457;0.000778727;0.000710869;0.000654335;0.000612931;0.000572978;0.00053143;0.000498481;0.00047975;0.000478574;0.000489848;0.000509544;0.000539023;0.000585782;0.000653878;0.000739815;0.000853238;0.001014869;0.001242857;0.001511402;0.001758253;0.001987237;0.002206058;0.002335485;0.002331181;0.002209719;0.002003396;0.001775633;0.001570531;0.001393596;0.001240356;0.001123574;0.001057701
