40;kt;35;kt;30;kt;25;kt;20;kt;15;kt;10;kt;5;kt
87.5907206;35.36205886;79.15925306;42.07566043;73.30214338;57.26396774;55.91465134;79.45877246;22.12711907;120.5516449;;;;;;
91.20690674;37.0822116;82.12808193;44.28842901;75.29794013;60.85842618;54.83257249;83.15173473;18.47893953;127.0402266;;;;;;
94.64943206;38.79081502;85.03911659;46.46520022;76.48565981;65.2913995;54.5023683;88.16793299;14.67123041;134.6183767;;;;;;
97.91318683;40.50617428;87.72395639;48.74730269;77.26789763;70.01024183;52.38265155;93.93194978;9.722944466;140.8671231;;;;;;
101.0745292;42.20407178;90.36039784;51.03056802;77.68833684;73.83765445;49.97491601;99.13085294;4.777676556;180;;;;;;
104.0757342;43.92632409;92.80291617;53.45353828;78.13959708;77.54763502;46.76512819;104.6076092;;;;;;;;
106.9915416;45.64574992;95.11353352;56.00505359;77.39280513;81.69773294;43.35524206;109.1673259;;;;;;;;
109.817813;47.37472031;97.34393749;58.68059018;76.83053402;84.90074069;40.27956037;114.5128015;;;;;;;;
112.4365095;49.19329481;99.44503462;61.58115059;75.80106397;87.79560054;37.0592725;119.2115197;;;;;;;;
114.9842062;51.03742434;101.1392418;64.35510371;74.39319425;91.19820262;33.64488524;123.5396352;;;;;;;;
117.516919;52.88267225;102.1092137;67.16962918;72.67001213;95.31964428;30.2209151;128.2306485;;;;;;;;
119.9507265;54.79372863;102.9165484;69.87069129;70.73770195;98.92742398;26.60847831;133.0799338;;;;;;;;
122.2298197;56.82862079;103.0264145;72.15554607;68.16462704;102.4672187;22.00342387;136.5525943;;;;;;;;
124.2035586;58.61038687;103.680131;74.88655483;65.08240325;106.3465416;15.19732791;142.4524903;;;;;;;;
126.5330915;60.92958602;103.629875;77.44100776;61.90045391;110.0466496;18.64081858;144.5082696;;;;;;;;
127.1206514;62.84500707;103.8949453;80.02270303;58.70238976;113.4634399;10.22676652;148.4882281;;;;;;;;
129.6847779;65.78265885;103.3991449;83.22060803;55.68753837;117.1615693;9.725084219;180;;;;;;;;
131.3603629;67.90576966;102.5507369;86.19598849;52.51065084;120.5007597;;;;;;;;;;
131.7182119;69.56269487;101.5682409;88.72780851;49.18698528;123.6562547;;;;;;;;;;
132.849443;72.01771184;100.4016476;91.42598113;45.90475492;127.0449183;;;;;;;;;;
133.3032258;74.5113147;98.85913981;93.87501877;42.23029466;130.0280085;;;;;;;;;;
133.4657684;76.74057612;97.32464155;96.62684338;37.67854043;131.9207753;;;;;;;;;;
133.4699858;78.86068373;94.97290784;99.481177;33.64175491;135.1344515;;;;;;;;;;
133.0637322;81.61158957;92.41619708;102.5570628;30.20739834;142.3605526;;;;;;;;;;
133.0279491;83.70917354;89.61431037;105.6415432;16.81989647;149.139207;;;;;;;;;;
132.1828577;86.26114382;86.47966884;108.5334564;17.76234567;161.9969875;;;;;;;;;;
